Name: name2
Start coordinates: (11, 123, 3)
Velocity: (11, 234, 12)
t - time past
r - real
p - predicted
s - sigma

t: 240	r: 318131 6.7674e+06 347043	p: 317471 6.76976e+06 347043	s: 0.000701526
t: 241	r: 320782 6.8238e+06 349935	p: 322815 6.82565e+06 349935	s: 0.00211418
t: 242	r: 323444 6.88042e+06 352839	p: 318820 6.8797e+06 352839	s: 0.00476535
t: 243	r: 326117 6.93729e+06 355755	p: 324032 6.93423e+06 355755	s: 0.00213609
t: 244	r: 328801 6.99438e+06 358683	p: 332270 6.98799e+06 358683	s: 0.00352981
t: 245	r: 331496 7.05171e+06 361623	p: 338400 7.05505e+06 361623	s: 0.00694402
t: 246	r: 334202 7.10928e+06 364575	p: 333553 7.11986e+06 364575	s: 0.000815834
t: 247	r: 336919 7.16708e+06 367539	p: 335149 7.16549e+06 367539	s: 0.00175253
t: 248	r: 339647 7.22511e+06 370515	p: 336996 7.22348e+06 370515	s: 0.00260264
t: 249	r: 342386 7.28337e+06 373503	p: 342167 7.28764e+06 373503	s: 0.000289109
t: 250	r: 345136 7.34187e+06 376503	p: 342614 7.33874e+06 376503	s: 0.00243983
t: 251	r: 347897 7.40061e+06 379515	p: 348450 7.40765e+06 379515	s: 0.000617498
t: 252	r: 350669 7.45958e+06 382539	p: 349239 7.45692e+06 382539	s: 0.00136432
t: 253	r: 353452 7.51878e+06 385575	p: 350544 7.51528e+06 385575	s: 0.0027472
t: 254	r: 356246 7.57821e+06 388623	p: 357555 7.58204e+06 388623	s: 0.0012359
t: 255	r: 359051 7.63788e+06 391683	p: 352874 7.63299e+06 391683	s: 0.00573855
t: 256	r: 361867 7.69779e+06 394755	p: 358135 7.69131e+06 394755	s: 0.00344936
t: 257	r: 364694 7.75792e+06 397839	p: 358560 7.77386e+06 397839	s: 0.00564778
t: 258	r: 367532 7.8183e+06 400935	p: 370984 7.82089e+06 400935	s: 0.00313234
t: 259	r: 370381 7.8789e+06 404043	p: 369436 7.87635e+06 404043	s: 0.000856893
t: 260	r: 373241 7.93974e+06 407163	p: 369515 7.93729e+06 407163	s: 0.0033295
t: 261	r: 376112 8.00082e+06 410295	p: 380831 8.00277e+06 410295	s: 0.00418313
t: 262	r: 378994 8.06212e+06 413439	p: 375256 8.05567e+06 413439	s: 0.00329848
t: 263	r: 381887 8.12367e+06 416595	p: 383932 8.11984e+06 416595	s: 0.00179167
t: 264	r: 384791 8.18544e+06 419763	p: 381810 8.17975e+06 419763	s: 0.00259282
t: 265	r: 387706 8.24745e+06 422943	p: 385684 8.24901e+06 422943	s: 0.00173997
t: 266	r: 390632 8.3097e+06 426135	p: 392862 8.31359e+06 426135	s: 0.00190937
t: 267	r: 393569 8.37218e+06 429339	p: 396463 8.37877e+06 429339	s: 0.00246497
t: 268	r: 396517 8.43489e+06 432555	p: 399180 8.44412e+06 432555	s: 0.00226837
t: 269	r: 399476 8.49783e+06 435783	p: 396487 8.5008e+06 435783	s: 0.00249724
t: 270	r: 402446 8.56101e+06 439023	p: 406377 8.55255e+06 439023	s: 0.00327247
t: 271	r: 405427 8.62443e+06 442275	p: 405710 8.61519e+06 442275	s: 0.000426046
t: 272	r: 408419 8.68808e+06 445539	p: 405302 8.68825e+06 445539	s: 0.00254389
t: 273	r: 411422 8.75196e+06 448815	p: 407891 8.74528e+06 448815	s: 0.00287182
t: 274	r: 414436 8.81607e+06 452103	p: 414277 8.80933e+06 452103	s: 0.000285281
t: 275	r: 417461 8.88042e+06 455403	p: 418008 8.88484e+06 455403	s: 0.000467248
t: 276	r: 420497 8.94501e+06 458715	p: 419222 8.95572e+06 458715	s: 0.00108652
t: 277	r: 423544 9.00982e+06 462039	p: 420951 8.99757e+06 462039	s: 0.00209027
t: 278	r: 426602 9.07488e+06 465375	p: 433878 9.07812e+06 465375	s: 0.00568629
t: 279	r: 429671 9.14016e+06 468723	p: 429505 9.15057e+06 468723	s: 0.000400814
t: 280	r: 432751 9.20568e+06 472083	p: 423206 9.22374e+06 472083	s: 0.00738107
t: 281	r: 435842 9.27144e+06 475455	p: 433697 9.2658e+06 475455	s: 0.00165281
t: 282	r: 438944 9.33742e+06 478839	p: 436003 9.33549e+06 478839	s: 0.00223464
t: 283	r: 442057 9.40365e+06 482235	p: 434445 9.4054e+06 482235	s: 0.0057398
